Province,Specialty,Population,Physician_Count,Physicians_per_100k,Service_Volume,Services_per_Physician
Newfoundland and Labrador,Internal Medicine,540500,64,11.840888066604995,204038.0,3188.09375
Newfoundland and Labrador,Cardiology,540500,18,3.330249768732655,26674.0,1481.888888888889
Newfoundland and Labrador,Gastroenterology,540500,9,1.6651248843663276,11484.0,1276.0
Newfoundland and Labrador,Neurology,540500,12,2.2201665124884364,12144.0,1012.0
Newfoundland and Labrador,Psychiatry,540500,85,15.726179463459758,50987.0,599.8470588235294
Newfoundland and Labrador,Pediatrics,540500,61,11.285846438482887,32405.0,531.2295081967213
Newfoundland and Labrador,Dermatology,540500,11,2.0351526364477337,52260.0,4750.909090909091
Newfoundland and Labrador,General Surgery,540500,65,12.0259019426457,65448.0,1006.8923076923077
Newfoundland and Labrador,Urology,540500,13,2.4051803885291396,39658.0,3050.6153846153848
Newfoundland and Labrador,Orthopedic Surgery,540500,31,5.735430157261795,46093.0,1486.8709677419354
Newfoundland and Labrador,Ophthalmology,540500,19,3.515263644773358,52381.0,2756.8947368421054
Newfoundland and Labrador,Obstetrics/Gynecology,540500,49,9.065679925994448,76377.0,1558.7142857142858
Prince Edward Island,Internal Medicine,175800,17,9.670079635949943,10509.0,618.1764705882352
Prince Edward Island,Cardiology,175800,2,1.1376564277588168,,
Prince Edward Island,Gastroenterology,175800,3,1.7064846416382253,,
Prince Edward Island,Neurology,175800,3,1.7064846416382253,0.0,0.0
Prince Edward Island,Psychiatry,175800,15,8.532423208191126,29746.0,1983.0666666666666
Prince Edward Island,Pediatrics,175800,18,10.238907849829351,3391.0,188.38888888888889
Prince Edward Island,Dermatology,175800,2,1.1376564277588168,,
Prince Edward Island,General Surgery,175800,13,7.39476678043231,18082.0,1390.923076923077
Prince Edward Island,Urology,175800,4,2.2753128555176336,3035.0,758.75
Prince Edward Island,Orthopedic Surgery,175800,8,4.550625711035267,22223.0,2777.875
Prince Edward Island,Ophthalmology,175800,6,3.4129692832764507,17821.0,2970.1666666666665
Prince Edward Island,Obstetrics/Gynecology,175800,11,6.257110352673492,1581.0,143.72727272727272
Nova Scotia,Internal Medicine,1056200,98,9.278545729975384,145180.0,1481.4285714285713
Nova Scotia,Cardiology,1056200,54,5.112668055292558,18560.0,343.7037037037037
Nova Scotia,Gastroenterology,1056200,26,2.461654989585306,8182.0,314.6923076923077
Nova Scotia,Neurology,1056200,33,3.124408256012119,13474.0,408.3030303030303
Nova Scotia,Psychiatry,1056200,202,19.125165688316606,47152.0,233.4257425742574
Nova Scotia,Pediatrics,1056200,103,9.75194092028025,23768.0,230.75728155339806
Nova Scotia,Dermatology,1056200,23,2.1776178754023863,45959.0,1998.2173913043478
Nova Scotia,General Surgery,1056200,68,6.438174588146184,72839.0,1071.1617647058824
Nova Scotia,Urology,1056200,29,2.745692103768226,72065.0,2485.0
Nova Scotia,Orthopedic Surgery,1056200,60,5.680742283658398,65380.0,1089.6666666666667
Nova Scotia,Ophthalmology,1056200,58,5.491384207536452,168691.0,2908.4655172413795
Nova Scotia,Obstetrics/Gynecology,1056200,79,7.4796440068168915,36662.0,464.0759493670886
New Brunswick,Internal Medicine,835000,70,8.383233532934131,221150.0,3159.285714285714
New Brunswick,Cardiology,835000,35,4.191616766467066,58079.0,1659.4
New Brunswick,Gastroenterology,835000,16,1.9161676646706587,48236.0,3014.75
New Brunswick,Neurology,835000,23,2.754491017964072,13623.0,592.304347826087
New Brunswick,Psychiatry,835000,97,11.616766467065869,78744.0,811.7938144329897
New Brunswick,Pediatrics,835000,63,7.544910179640719,35188.0,558.5396825396825
New Brunswick,Dermatology,835000,13,1.5568862275449102,45110.0,3470.0
New Brunswick,General Surgery,835000,61,7.3053892215568865,78242.0,1282.655737704918
New Brunswick,Urology,835000,25,2.9940119760479043,50980.0,2039.2
New Brunswick,Orthopedic Surgery,835000,46,5.508982035928144,93310.0,2028.4782608695652
New Brunswick,Ophthalmology,835000,37,4.431137724550898,109320.0,2954.5945945945946
New Brunswick,Obstetrics/Gynecology,835000,64,7.664670658682635,83415.0,1303.359375
Quebec,Internal Medicine,8903100,945,10.614280419179837,7159196.0,7575.868783068783
Quebec,Cardiology,8903100,472,5.301524188204109,1557734.0,3300.2838983050847
Quebec,Gastroenterology,8903100,247,2.774314564589862,833911.0,3376.157894736842
Quebec,Neurology,8903100,290,3.2572924037694735,590742.0,2037.0413793103448
Quebec,Psychiatry,8903100,1350,15.163257741685479,2863602.0,2121.1866666666665
Quebec,Pediatrics,8903100,702,7.8848940256764495,1750210.0,2493.1766381766383
Quebec,Dermatology,8903100,248,2.7855466073614807,768810.0,3100.0403225806454
Quebec,General Surgery,8903100,563,6.323640080421425,1074674.0,1908.834813499112
Quebec,Urology,8903100,212,2.3811930675832014,756146.0,3566.7264150943397
Quebec,Orthopedic Surgery,8903100,431,4.8410104345677345,651198.0,1510.9002320185614
Quebec,Ophthalmology,8903100,375,4.212016039357078,1466150.0,3909.733333333333
Quebec,Obstetrics/Gynecology,8903100,562,6.312408037649807,1129770.0,2010.2669039145908
Ontario,Internal Medicine,15788400,1734,10.982746826784222,13644203.0,7868.6291810841985
Ontario,Cardiology,15788400,671,4.249955663651795,1850902.0,2758.4232488822654
Ontario,Gastroenterology,15788400,344,2.1788148260748397,1050160.0,3052.7906976744184
