HCP_ID,Province,Specialty,Market_Intensity,Patient_Volume,Category_TRx,Target_TRx,Target_Share,Competitor_Share,Category_Growth,New_Patient_Share,Field_Engagement,Digital_Engagement,Field_Engagement_Level,Digital_Engagement_Level,Business_Segment,KMeans_Cluster,Opportunity_Score,Priority_Tier,Recommended_Engagement_Strategy
HCP_0001,Newfoundland and Labrador,Internal Medicine,0.404681032415471,303,171,71,0.4152046783625731,0.5847953216374269,0.0279025021180157,0.1652737334874841,86,97,High,High,Core / Maintenance,2,-0.7380006361097435,Low Priority,Maintain efficiently
HCP_0002,Newfoundland and Labrador,Internal Medicine,0.404681032415471,242,103,50,0.4854368932038835,0.5145631067961165,-0.085621447538162,0.098381230374868,35,38,Medium,Medium,Core / Maintenance,2,-1.0289375715149909,Low Priority,Maintain efficiently
HCP_0003,Newfoundland and Labrador,Internal Medicine,0.404681032415471,319,172,97,0.563953488372093,0.436046511627907,0.0827612860993262,0.1896641582169064,2,18,Low,Low,Core / Maintenance,4,-0.9189834038011736,Low Priority,Maintain efficiently
HCP_0004,Newfoundland and Labrador,Internal Medicine,0.404681032415471,434,193,12,0.0621761658031088,0.9378238341968912,-0.1989568045055642,0.3929700514738331,97,30,High,Low,Core / Maintenance,3,0.3926033580500431,Medium Priority,Maintain efficiently
HCP_0005,Newfoundland and Labrador,Internal Medicine,0.404681032415471,234,169,23,0.136094674556213,0.863905325443787,0.0389651860874881,0.1290584945267515,18,76,Low,High,Core / Maintenance,2,-0.33464804554002725,Low Priority,Maintain efficiently
HCP_0006,Newfoundland and Labrador,Cardiology,0.4812710250285086,256,199,107,0.5376884422110553,0.4623115577889447,0.0519230338754192,0.2642555306301302,27,23,Low,Low,Core / Maintenance,4,-0.8559389687030157,Low Priority,Maintain efficiently
HCP_0007,Newfoundland and Labrador,Gastroenterology,0.3365264743427081,403,173,52,0.3005780346820809,0.699421965317919,0.1453520459534253,0.2015405674438972,22,68,Low,High,Core / Maintenance,0,-0.24944926424635394,Low Priority,Maintain efficiently
HCP_0008,Newfoundland and Labrador,Neurology,0.6988703840983378,437,342,123,0.3596491228070175,0.6403508771929824,0.1668346699313416,0.0748585986772643,6,86,Low,High,Core / Maintenance,0,-0.49158646458159927,Low Priority,Maintain efficiently
HCP_0009,Newfoundland and Labrador,Psychiatry,0.2150064436543791,157,96,40,0.4166666666666667,0.5833333333333333,-0.010428354268926,0.2207568120993208,75,82,High,High,Core / Maintenance,4,-0.7978764240339439,Low Priority,Maintain efficiently
HCP_0010,Newfoundland and Labrador,Psychiatry,0.2150064436543791,224,116,49,0.4224137931034483,0.5775862068965517,0.031926318244408,0.2957575150269094,13,64,Low,Medium,Core / Maintenance,4,-0.6316608899378816,Low Priority,Maintain efficiently
HCP_0011,Newfoundland and Labrador,Psychiatry,0.2150064436543791,158,68,38,0.5588235294117647,0.4411764705882353,-0.0419344996732805,0.2296269915397366,45,32,Medium,Low,Core / Maintenance,4,-1.0505200099809682,Low Priority,Maintain efficiently
HCP_0012,Newfoundland and Labrador,Psychiatry,0.2150064436543791,158,95,57,0.6,0.4,-0.0853675065769232,0.3552371223113034,14,58,Low,Medium,Core / Maintenance,4,-0.9392994272657601,Low Priority,Maintain efficiently
HCP_0013,Newfoundland and Labrador,Psychiatry,0.2150064436543791,202,145,65,0.4482758620689655,0.5517241379310345,0.0871873735256761,0.1511279558301539,66,32,Medium,Low,Core / Maintenance,0,-0.8667400826877292,Low Priority,Maintain efficiently
HCP_0014,Newfoundland and Labrador,Psychiatry,0.2150064436543791,95,65,14,0.2153846153846154,0.7846153846153846,-0.1028302658315919,0.0801872099563877,14,31,Low,Low,Core / Maintenance,2,-0.6905557155563573,Low Priority,Maintain efficiently
HCP_0015,Newfoundland and Labrador,Pediatrics,0.4361244562034001,144,60,32,0.5333333333333333,0.4666666666666667,0.0002447719313764,0.3777979640803021,50,58,Medium,Medium,Core / Maintenance,4,-0.7937246264780687,Low Priority,Maintain efficiently
HCP_0016,Newfoundland and Labrador,Pediatrics,0.4361244562034001,217,93,7,0.075268817204301,0.9247311827956988,-0.0694208751879084,0.1823687223348766,87,91,High,High,Core / Maintenance,2,-0.15677184608481243,Low Priority,Maintain efficiently
HCP_0017,Newfoundland and Labrador,Pediatrics,0.4361244562034001,185,104,18,0.173076923076923,0.8269230769230769,0.1159619823548311,0.2517419430087717,7,100,Low,High,Core / Maintenance,3,-0.18022432103044558,Low Priority,Maintain efficiently
HCP_0018,Newfoundland and Labrador,Pediatrics,0.4361244562034001,295,153,83,0.5424836601307189,0.4575163398692811,0.2661716119119786,0.3272010941455686,68,40,High,Medium,Core / Maintenance,4,-0.4714340820255586,Low Priority,Maintain efficiently
HCP_0019,Newfoundland and Labrador,Dermatology,0.9121682289219464,278,137,26,0.1897810218978102,0.8102189781021898,-0.1061905579363997,0.1635097823564532,61,11,Medium,Low,Core / Maintenance,2,-0.3414269045850177,Low Priority,Maintain efficiently
HCP_0020,Newfoundland and Labrador,General Surgery,0.4822892774579868,169,87,15,0.1724137931034483,0.8275862068965517,-0.1723622179477082,0.3006575883621639,50,72,Medium,High,Core / Maintenance,3,-0.2077903183206805,Low Priority,Maintain efficiently
HCP_0021,Newfoundland and Labrador,General Surgery,0.4822892774579868,464,335,42,0.1253731343283582,0.8746268656716418,0.0350135737579919,0.0973965974362398,62,10,Medium,Low,Core / Maintenance,2,-0.14084883693413675,Low Priority,Maintain efficiently
HCP_0022,Newfoundland and Labrador,General Surgery,0.4822892774579868,257,198,103,0.5202020202020202,0.4797979797979798,0.051883735514931,0.1519528115219268,67,96,High,High,Core / Maintenance,4,-0.990753322383106,Low Priority,Maintain efficiently
HCP_0023,Newfoundland and Labrador,General Surgery,0.4822892774579868,284,160,52,0.325,0.675,0.0762391168108757,0.1006487226477819,77,18,High,Low,Core / Maintenance,0,-0.6455443712464373,Low Priority,Maintain efficiently
HCP_0024,Newfoundland and Labrador,General Surgery,0.4822892774579868,169,129,54,0.4186046511627907,0.5813953488372092,-0.0035584618281213,0.3339306954404752,15,53,Low,Medium,Core / Maintenance,4,-0.620106031290331,Low Priority,Maintain efficiently
HCP_0025,Newfoundland and Labrador,Urology,0.6509447500333366,267,141,26,0.1843971631205673,0.8156028368794326,0.0259232841409481,0.1279272323293749,83,56,High,Medium,Core / Maintenance,2,-0.3953044548625409,Low Priority,Maintain efficiently
HCP_0026,Newfoundland and Labrador,Orthopedic Surgery,0.6551268910478969,337,199,93,0.4673366834170854,0.5326633165829145,0.0941012492648722,0.3010912443918236,23,41,Low,Medium,Core / Maintenance,4,-0.5391723323609126,Low Priority,Maintain efficiently
HCP_0027,Newfoundland and Labrador,Orthopedic Surgery,0.6551268910478969,216,106,50,0.4716981132075472,0.5283018867924528,0.1748517071173806,0.3801544390359784,5,97,Low,High,Core / Maintenance,4,-0.4464884924585324,Low Priority,Maintain efficiently
HCP_0028,Newfoundland and Labrador,Ophthalmology,0.5527655914309045,339,222,49,0.2207207207207207,0.7792792792792793,-0.1846058524381939,0.2347202731741069,56,70,Medium,High,Core / Maintenance,2,-0.2339730202524764,Low Priority,Maintain efficiently
HCP_0029,Newfoundland and Labrador,Obstetrics/Gynecology,0.6662353864896803,265,210,58,0.2761904761904762,0.7238095238095238,0.0057272673162245,0.2390102172912407,30,30,Low,Low,Core / Maintenance,3,-0.40285192257992297,Low Priority,Maintain efficiently
HCP_0030,Newfoundland and Labrador,Obstetrics/Gynecology,0.6662353864896803,295,189,31,0.164021164021164,0.835978835978836,0.0756570552729276,0.2113617488342342,5,51,Low,Medium,Core / Maintenance,3,-0.16724112033855795,Low Priority,Maintain efficiently
HCP_0031,Newfoundland and Labrador,Obstetrics/Gynecology,0.6662353864896803,264,143,84,0.5874125874125874,0.4125874125874126,-0.0601571325532883,0.1640615501877749,98,1,High,Low,Core / Maintenance,4,-1.1006703688581816,Low Priority,Maintain efficiently
